customer_no,Days Since Last Ticket Order,Days Since Last Gift,Days Since Last Activity Date,Contribution_Last_Amount,Contribution_last_year_giving,Days since Last Contribution,Donor_Category
3216739,99,659,99,29.5,,1199,Under-Patron
3216741,1201,1198,700,13.5,,1199,Under-Patron
3216743,114,34,7,5000,5000,35,Under-Patron
3216748,1201,1198,700,15.5,,1199,Under-Patron
3216760,1200,1198,700,45,,1199,Under-Patron
3216768,1200,1198,700,20.5,,1199,Under-Patron
3216780,694,693,321,5,,694,Under-Patron
3216796,957,411,235,50,,411,Under-Patron
3216811,412,1183,21,30,,1184,Under-Patron
3216816,122,239,79,25,25,240,Under-Patron
3216821,458,579,235,50,,580,Under-Patron
3216831,1198,1198,700,13.5,,1199,Under-Patron
3216857,852,1084,321,21,,1085,Under-Patron
3216858,1198,1196,700,9.33,,1197,Under-Patron
3216861,840,1196,700,29.5,,1197,Under-Patron
3216865,1198,1196,700,18.5,,1197,Under-Patron
3216887,545,50,7,10000,10000,51,Under-Patron
3216898,167,166,138,10.5,25.5,167,Under-Patron
3216904,1197,1196,700,4,,1197,Under-Patron
3216922,628,1022,321,5,,1023,Under-Patron
3216930,1197,1196,700,21,,1197,Under-Patron
3216931,1197,1051,321,50,,1052,Under-Patron
3216945,1197,1196,700,10,,1197,Under-Patron
3216972,68,742,68,150,,743,Under-Patron
3216984,1196,1194,700,44,,1195,Under-Patron
3216996,932,932,321,15.7,,932,Under-Patron
3216999,1071,1070,321,25,,1071,Under-Patron
3217009,1193,1191,700,10,,1192,Under-Patron
3217010,1196,1194,700,10.5,,1195,Under-Patron
3217017,183,1194,173,6,,1195,Under-Patron
3217037,1195,1194,700,15.75,,1195,Under-Patron
3217045,1194,1191,321,5.07,,1192,Under-Patron
3217083,558,894,359,40,,895,Under-Patron
3217085,45868,1194,700,10,,1195,Under-Patron
3217086,1007,1006,321,14.9,,1007,Under-Patron
3217094,1195,1194,700,33.5,,1195,Under-Patron
3217095,1030,1030,321,30,,1031,Under-Patron
3217105,137,134,99,10,10,135,Under-Patron
3217142,1194,1191,700,6,,1192,Under-Patron
3217154,1194,1191,700,26.5,,1192,Under-Patron
3217176,227,1191,165,28.25,,1192,Under-Patron
3217185,1011,1009,321,5,,1010,Under-Patron
3217205,132,42,22,10,140,43,Under-Patron
3217215,217,215,138,13,13,216,Under-Patron
3217221,86,417,22,1800,,418,Under-Patron
3217226,106,333,50,10,10,334,Under-Patron
3217283,904,903,204,13.75,,904,Under-Patron
3217294,1191,1187,700,13.75,,1188,Under-Patron
3217298,1191,1187,700,53,,1188,Under-Patron
3217303,1021,1020,321,8.75,,1021,Under-Patron
3217309,567,1187,567,15.5,,1188,Under-Patron
3217313,167,183,138,7,7,184,Under-Patron
3217315,1190,1187,700,21,,1188,Under-Patron
3217321,45868,54,22,100,100,55,Under-Patron
3217362,91,1187,91,13.5,,1188,Under-Patron
3217404,1189,1187,700,3.5,,1188,Under-Patron
3217429,810,1187,700,6,,1188,Under-Patron
3217431,1189,1187,700,10,,1188,Under-Patron
3217448,1188,1187,700,11.7,,1188,Under-Patron
3217474,1188,1187,700,31,,1188,Under-Patron
3217476,1188,1187,700,23.25,,1188,Under-Patron
3217531,494,587,235,27.5,,588,Under-Patron
3217536,455,1183,452,43.1,,1184,Under-Patron
3217538,817,816,321,10,,817,Under-Patron
3217564,1186,1008,321,50,,1009,Under-Patron
3217579,447,1183,447,17.25,,1184,Under-Patron
3217582,1186,1183,700,22.5,,1184,Under-Patron
3217602,1185,1183,700,5,,1184,Under-Patron
3217604,1185,1183,700,20.5,,1184,Under-Patron
3217620,451,520,321,25,,622,Under-Patron
3217621,1183,1182,700,3,,1183,Under-Patron
3217622,1035,739,321,50,,740,Under-Patron
3217626,120,586,7,1000,1000,42,Under-Patron
