customer_no,Days Since Last Ticket Order,Days Since Last Gift,Days Since Last Activity Date,Contribution_Last_Amount,Contribution_last_year_giving,Days since Last Contribution,Donor_Category
1012,117.00,1113.41,41.25,4000,,1114.00,Patron+
1226,121.55,119.55,13.43,3077.5,40077.5,117.00,Patron+
1406,131.54,231.35,13.45,11000,11000,232.00,Patron+
1948,124.35,123.51,13.42,500,8000,124.00,Patron+
2335,106.00,816.31,13.43,5000,10000,98.00,Patron+
2516,1061.59,1370.32,327.38,5000,,1371.00,Patron+
2712,1169.00,1308.20,742.48,15000,,1309.00,Patron+
2876,120.00,49.35,14.55,5000,5000,50.00,Patron+
2925,118.00,35.34,0.32,10000,11750,36.00,Patron+
3112,74.00,35.34,7.35,5000,5000,36.00,Patron+
3295,104.00,34.36,12.34,5000,5000,35.00,Patron+
3466,120.00,90.40,13.43,25000,50000,91.00,Patron+
4630,109.59,357.31,14.55,5000,5000,358.00,Patron+
5192,106.00,5.35,5.34,4009,5000,6.00,Patron+
7031,102.00,928.57,13.43,10000,10000,15.00,Patron+
7192,1219.00,230.32,14.55,10000,12000,231.00,Patron+
7272,127.00,236.31,13.42,2500,2500,237.00,Patron+
9614,178.31,174.32,13.42,4000,14000,175.00,Patron+
10423,125.00,53.30,13.42,5000,5000,54.00,Patron+
10500,110.00,39.40,13.34,10000,44000,40.00,Patron+
12105,711.43,804.30,277.43,4980,,805.00,Patron+
13071,1201.61,21.38,13.43,50000,57500,22.00,Patron+
13107,431.00,306.33,13.42,10000,10000,307.00,Patron+
13159,74.00,551.30,13.45,5000,,552.00,Patron+
13226,78.39,158.30,13.45,30000,50000,159.00,Patron+
13406,81.00,437.33,13.42,2000,,438.00,Patron+
18401,81.00,518.30,13.42,10000,10000,141.00,Patron+
20153,126.00,221.28,13.42,6000,6000,222.00,Patron+
20984,137.00,369.29,13.42,10000,10000,98.00,Patron+
21189,75.00,73.41,10.36,5000,5000,74.00,Patron+
29649,90.61,490.33,0.40,10000,,491.00,Patron+
33361,94.21,35.32,13.43,1000,77750,36.00,Patron+
45402,477.00,332.34,0.40,5000,5000,333.00,Patron+
49405,139.00,221.28,13.43,5000,5000,222.00,Patron+
54821,88.49,1253.40,88.49,3000,,1254.00,Patron+
54896,124.35,286.37,13.43,7500,7500,287.00,Patron+
55595,578.34,1200.22,41.25,2500,,1201.00,Patron+
56385,313.31,19.37,13.44,5000,5000,20.00,Patron+
88234,82.00,180.32,14.55,2500,2500,181.00,Patron+
91610,711.43,976.36,327.38,8525.42,,977.00,Patron+
91969,81.00,5.35,5.35,1000,1000,6.00,Patron+
92030,217.56,67.59,28.20,3000,3000,68.00,Patron+
92879,717.35,973.33,297.50,2500,,974.00,Patron+
95150,105.00,402.36,13.44,177.76,,403.00,Patron+
99173,107.28,776.31,13.43,5000,,777.00,Patron+
101857,138.00,122.52,13.42,1250,6250,62.00,Patron+
102132,712.33,299.35,299.35,1000,1000,300.00,Patron+
104345,89.00,313.44,4.61,2000,,505.00,Patron+
105879,137.25,2926.49,13.45,5000,5000,327.00,Patron+
108721,130.00,601.30,4.33,10000,10000,229.00,Patron+
108773,312.61,292.30,14.55,5000,5000,293.00,Patron+
109023,313.39,307.32,13.43,10000,21500,13.00,Patron+
109533,82.00,76.35,10.35,5000,57000,77.00,Patron+
115393,125.00,138.34,13.44,26621.05,26621.05,161.00,Patron+
119424,106.00,521.28,0.33,5000,5000,162.00,Patron+
120544,313.28,38.33,13.42,5000,5000,39.00,Patron+
120615,120.00,280.28,13.42,2000,2000,281.00,Patron+
120626,111.42,144.32,4.46,10000,10000,145.00,Patron+
120813,88.00,4.30,3.49,25000,25000,5.00,Patron+
121312,88.00,87.37,13.45,33294.23,35372.83,88.00,Patron+
130055,98.00,96.36,13.45,5000,5000,97.00,Patron+
131872,111.00,41.32,13.42,10000,20000,42.00,Patron+
135314,120.00,96.42,13.43,350,13850,97.00,Patron+
135615,119.00,468.31,13.42,10000,10000,118.00,Patron+
136888,97.00,154.32,13.43,10000,10000,155.00,Patron+
142408,111.00,252.61,13.43,10000,,431.00,Patron+
143653,138.35,160.31,14.55,10000,10000,161.00,Patron+
154010,112.00,497.32,13.44,5000,5000,112.00,Patron+
155464,91.00,91.34,13.42,10000,10000,92.00,Patron+
156130,82.00,138.34,12.38,50000,50000,139.00,Patron+
157947,92.54,229.32,13.43,25000,25000,230.00,Patron+
160840,112.23,69.03,13.45,5000,5000,70.00,Patron+
164397,112.00,692.30,28.20,5000,,693.00,Patron+
168354,138.32,84.32,13.43,25000,39000,85.00,Patron+
174666,85.00,231.32,13.42,2500,2500,232.00,Patron+
176161,312.62,6243.36,13.42,5000,5000,181.00,Patron+
178451,105.00,104.40,14.55,5000,10000,105.00,Patron+
179183,75.00,53.30,14.55,5000,5031.16,54.00,Patron+
180465,111.00,35.34,13.42,10000,10010,20.00,Patron+
182957,98.00,227.32,13.42,25000,25500,228.00,Patron+
184893,120.00,284.37,13.45,10000,10000,285.00,Patron+
184986,137.00,231.37,13.43,2000,29000,232.00,Patron+
185227,70.36,33.58,5.33,5000,10000,34.00,Patron+
193234,111.00,518.30,13.42,5000,5000,111.00,Patron+
193444,117.52,111.35,13.43,5000,5000,112.00,Patron+
193540,103.00,374.63,13.42,2500,,375.00,Patron+
198150,203.48,238.29,13.43,8821.73,8821.73,239.00,Patron+
198159,138.31,63.33,0.36,5000,12268.25,64.00,Patron+
200209,137.60,10.34,10.34,15000,15000,11.00,Patron+
202837,90.31,77.29,14.55,5000,5000,78.00,Patron+
203247,313.29,286.39,4.57,2801.18,5301.18,13.00,Patron+
206820,313.29,214.32,13.42,5378.5,5378.5,215.00,Patron+
216852,125.00,206.32,5.49,5000,5000,207.00,Patron+
220401,125.00,146.32,12.39,10000,10000,147.00,Patron+
221596,137.00,55.40,14.55,9000,15900,56.00,Patron+
222987,119.00,41.33,13.42,5000,9000,42.00,Patron+
224465,111.45,140.33,0.34,20,5020,141.00,Patron+
225757,130.00,178.33,13.43,1000,61000,229.00,Patron+
226470,126.00,193.32,13.43,25000,25000,194.00,Patron+
230034,438.45,605.31,13.42,2500,,606.00,Patron+
230524,54.00,832.31,13.42,5000,,833.00,Patron+
231415,88.00,430.33,13.42,10000,,431.00,Patron+
232422,78.00,348.31,4.32,11760,11770,186.00,Patron+
234869,83.00,269.30,13.43,12000,12000,270.00,Patron+
239830,124.10,35.32,13.45,5000,53000,36.00,Patron+
242835,118.52,369.29,13.42,10000,,370.00,Patron+
243279,126.00,28.37,13.43,15000,65000,29.00,Patron+
243405,109.00,234.32,13.44,25000,25000,235.00,Patron+
248896,78.41,245.31,13.43,25000,25000,246.00,Patron+
250883,125.00,467.30,13.42,5000,,468.00,Patron+
251253,99.00,97.46,13.42,5000,5000,98.00,Patron+
252160,132.00,19.53,19.53,2000,2000,20.00,Patron+
252240,86.00,84.32,13.42,5000,5000,85.00,Patron+
500970,106.51,76.42,13.44,5000,5000,77.00,Patron+
2212589,126.00,151.44,13.45,5000,60000,152.00,Patron+
2213233,45874.00,53.59,13.43,25000,75000,54.00,Patron+
2213981,665.26,664.31,28.20,2500,,665.00,Patron+
2216627,119.00,809.29,48.58,500,,810.00,Patron+
2217115,312.62,243.33,13.42,2500,2500,244.00,Patron+
2225207,78.00,277.32,13.43,2000,4000,278.00,Patron+
2225548,127.00,90.35,12.32,50000,50255.27,91.00,Patron+
2235747,119.06,623.59,13.39,34000,,624.00,Patron+
2239407,104.00,28.37,13.45,10000,20000,29.00,Patron+
2241186,120.00,117.29,13.42,10598.37,10598.37,118.00,Patron+
2248156,112.00,124.54,13.31,25000,,516.00,Patron+
2251927,94.00,26.32,6.59,25000,230060,27.00,Patron+
2255196,112.00,96.42,13.45,5611.3,55629.3,97.00,Patron+
2257617,314.51,28.37,13.45,10000,10000,29.00,Patron+
2259492,433.00,3343.49,13.42,5000,5000,229.00,Patron+
2260936,1183.00,1364.29,431.62,10332.12,,1365.00,Patron+
2261511,39.56,312.32,6.60,5000,5000,313.00,Patron+
2263626,88.00,96.42,13.43,6250,6250,97.00,Patron+
3005163,4.36,335.32,4.36,2500,2500,336.00,Patron+
3005810,60.49,818.31,41.25,332,,819.00,Patron+
3007029,17.34,14.34,14.34,17.6,5517.6,15.00,Patron+
3010242,126.00,718.31,13.43,1000,,719.00,Patron+
3017554,131.55,53.30,5.33,25000,25070,54.00,Patron+
3018369,96.00,839.31,10.36,850,,840.00,Patron+
3019214,120.00,321.32,13.45,5000,5000,322.00,Patron+
3020493,46.00,84.32,13.42,20000,20000,85.00,Patron+
3022216,475.24,17.34,13.43,3000,3883.51,18.00,Patron+
3026417,90.00,21.40,12.38,5000,5000,22.00,Patron+
3032222,45874.00,45874.00,515.23,,,45874.00,Patron+
3048880,411.00,689.30,28.20,5000,,690.00,Patron+
3049591,120.00,300.42,6.46,5000,30000,301.00,Patron+
3051583,126.00,503.31,6.54,2500,,504.00,Patron+
3052947,119.52,41.34,13.42,10000,13450,42.00,Patron+
3054007,89.00,48.37,14.55,35000,120310.5,49.00,Patron+
3055225,313.29,159.33,12.34,15000,29000,160.00,Patron+
3058788,124.00,217.32,6.45,6000,6000,218.00,Patron+
3059286,711.44,770.24,0.39,,,771.00,Patron+
3062494,39.00,165.30,13.45,33333,100000,166.00,Patron+
3062638,131.00,35.34,13.60,2000,60000,36.00,Patron+
3063350,75.00,228.38,14.55,2500,2500,229.00,Patron+
3064395,83.00,102.45,12.37,4770,4770,228.00,Patron+
3067885,138.26,196.34,14.55,10000,10000,197.00,Patron+
3068108,127.04,112.32,13.43,5000,5000,113.00,Patron+
3068469,712.52,987.43,327.38,2500,,988.00,Patron+
3070295,135.59,262.34,14.55,3390,14000,64.00,Patron+
3070452,92.00,193.32,14.55,5000,5000,194.00,Patron+
3071565,122.48,833.29,122.47,2500,,834.00,Patron+
3071934,126.00,24.41,13.45,5000,15000,25.00,Patron+
3072020,55.00,342.38,13.43,2500,2500,343.00,Patron+
3073012,120.00,181.33,14.55,4640,7420,98.00,Patron+
3075180,438.32,768.27,0.40,8465,,769.00,Patron+
3076401,131.00,20.32,13.42,10000,11323.4,21.00,Patron+
3076537,105.00,105.36,28.20,100,118,106.00,Patron+
3079744,794.53,776.31,327.38,2500,,777.00,Patron+
3079800,138.00,62.33,13.44,2500,2500,63.00,Patron+
3082442,117.00,116.32,4.60,5000,5000,117.00,Patron+
3082970,78.00,53.30,13.42,2500,2500,54.00,Patron+
3083304,462.00,634.30,13.43,275.56,,428.00,Patron+
3083909,334.62,104.60,13.43,2500,2870,105.00,Patron+
3084692,123.00,87.39,6.30,50000,100000,88.00,Patron+
3084739,833.00,1329.39,41.25,5000,,1330.00,Patron+
3085700,410.00,272.59,13.45,700,1500,273.00,Patron+
3086736,860.00,746.31,6.32,10000,,747.00,Patron+
3086824,101.42,273.32,6.51,2530,10446.62,127.00,Patron+
3088284,75.00,343.30,14.55,2500,2500,344.00,Patron+
3088506,570.33,518.30,13.44,3500,,519.00,Patron+
3088704,61.60,5.34,5.34,2500,2500,6.00,Patron+
3094101,487.00,42.23,13.43,5000,5000,43.00,Patron+
3094596,483.45,490.32,13.43,2500,,491.00,Patron+
3095059,717.49,808.31,297.50,2500,,809.00,Patron+
3095160,806.00,810.31,6.32,2500,,811.00,Patron+
3095216,1215.38,1154.25,41.25,2500,,1155.00,Patron+
3095224,75.00,63.37,13.43,2500,2500,64.00,Patron+
3098524,92.00,42.32,0.40,5000,5000,43.00,Patron+
3098759,39.00,459.40,13.43,2500,,460.00,Patron+
3098836,39.00,382.30,0.35,10000,,383.00,Patron+
3104199,972.56,973.46,327.38,10000,,974.00,Patron+
3106798,105.00,889.29,14.55,25000,,890.00,Patron+
3107049,210.59,90.35,13.43,15000,15000,91.00,Patron+
3107282,577.42,1153.21,503.39,5000,,1154.00,Patron+
3110868,74.43,67.38,13.45,5000,8500,68.00,Patron+
3110899,690.16,622.32,13.42,10000,,623.00,Patron+
3111400,334.52,42.32,3.32,2500,4200,43.00,Patron+
3111684,101.72,84.32,13.42,10000,10000,85.00,Patron+
3112236,312.62,188.33,14.55,5000,5000,189.00,Patron+
3112365,1196.31,1209.34,532.44,1700,,1210.00,Patron+
3112441,312.61,468.31,13.45,2500,,469.00,Patron+
3113121,94.00,28.37,13.43,25000,25000,29.00,Patron+
3113270,711.43,45874.00,364.58,5000,,935.00,Patron+
3113603,75.00,73.41,14.55,5000,5000,74.00,Patron+
3114058,88.00,17.37,6.31,800,5800,18.00,Patron+
3114738,711.44,921.57,297.50,1120.88,,922.00,Patron+
3202969,258.22,91.33,28.20,2500,2512.5,92.00,Patron+
3203013,119.29,221.28,13.45,10000,10000,222.00,Patron+
3204732,946.52,854.29,278.39,140000,,855.00,Patron+
3205088,711.44,1025.38,327.39,5000,,1026.00,Patron+
3205125,1251.80,1189.38,327.38,,,1190.00,Patron+
3205127,98.50,382.30,10.45,10000,,383.00,Patron+
3205678,77.41,152.49,14.55,10000,11735,153.00,Patron+
3205707,111.00,132.33,6.31,10,5010,133.00,Patron+
3205973,76.00,39.34,14.55,5000,5000,40.00,Patron+
3206217,327.00,214.33,3.32,5000,5000,217.00,Patron+
3206262,24.34,21.38,13.43,1500,12250,22.00,Patron+
3206658,552.57,557.31,503.34,400,,558.00,Patron+
3206771,712.52,1041.36,6.31,2500,,1042.00,Patron+
3206956,93.00,284.37,13.45,10000,10000,285.00,Patron+
3207216,713.54,920.34,327.38,2500,,921.00,Patron+
3207333,138.26,77.29,6.31,400,400,78.00,Patron+
3207336,126.00,231.43,12.37,10000,12000,232.00,Patron+
3207443,43.00,122.33,3.56,1000,3150,123.00,Patron+
3208390,131.00,4.30,4.30,5000,15000,5.00,Patron+
3208568,1062.36,1181.26,638.11,5000,,1182.00,Patron+
3208680,51.58,312.32,13.45,14357,14357,316.00,Patron+
3208788,192.48,1243.31,192.47,2500,,1244.00,Patron+
3208822,1062.33,1144.30,327.38,2500,,1145.00,Patron+
3208872,335.21,572.29,297.50,15.5,,573.00,Patron+
3208974,312.63,647.29,10.37,2500,,648.00,Patron+
3209684,313.39,559.27,13.44,2000,,560.00,Patron+
3209761,98.46,300.32,5.59,2500,2500,301.00,Patron+
3209965,132.00,96.42,5.56,2975.63,34975.63,97.00,Patron+
3210028,116.53,153.33,14.55,5000,5000,154.00,Patron+
3210084,1061.58,1119.38,327.38,,,1120.00,Patron+
3210341,70.43,49.49,4.32,10000,11000,50.00,Patron+
3211154,717.51,227.32,0.36,5000,5000,228.00,Patron+
3211351,45874.00,1309.32,399.37,5000,,1310.00,Patron+
3211369,112.18,173.29,12.44,5000,5000,174.00,Patron+
3211709,717.36,867.25,341.36,1500,,868.00,Patron+
3212697,132.09,7.45,6.47,400,3667.5,8.00,Patron+
3213014,363.41,117.28,13.43,5000,40000,118.00,Patron+
3213124,266.42,84.32,7.53,2500,2700,85.00,Patron+
3216315,714.55,573.35,13.45,700,,574.00,Patron+
3216472,97.45,929.63,6.30,2500,,930.00,Patron+
3216540,1062.35,1088.37,327.38,700,,1089.00,Patron+
3216887,551.24,56.34,13.45,10000,10000,57.00,Patron+
3217893,844.00,525.57,28.20,5000,,638.00,Patron+
3218095,1004.31,1146.37,503.35,5000,,1147.00,Patron+
3218103,26.00,350.32,13.43,5000,5000,354.00,Patron+
3218362,119.00,96.42,13.44,250,20250,97.00,Patron+
3218719,12.55,96.42,12.36,250,9250,97.00,Patron+
3218737,45874.00,1071.41,28.20,50000,,1072.00,Patron+
3218785,313.39,616.31,28.20,2500,,617.00,Patron+
3219149,41.00,432.28,6.30,5000,,433.00,Patron+
3219639,245.53,257.33,13.45,5000,5000,258.00,Patron+
3220052,171.38,152.49,13.34,4000,59000,153.00,Patron+
3220184,139.00,41.34,28.20,250,250,42.00,Patron+
3220563,132.27,41.33,13.45,25000,45000,42.00,Patron+
3220767,648.34,648.31,13.43,5000,,649.00,Patron+
3220938,815.56,599.33,28.20,10000,,600.00,Patron+
3221300,75.00,24.40,13.43,2500,2500,25.00,Patron+
3222131,104.00,291.32,13.44,5000,5000,292.00,Patron+
3222424,124.00,122.37,13.44,2500,2500,123.00,Patron+
3222433,116.53,63.37,13.45,2500,2500,64.00,Patron+
3222612,90.30,91.34,13.43,2500,2510,92.00,Patron+
3222860,717.50,929.55,4.32,2500,,930.00,Patron+
3223094,717.51,775.30,297.32,2500,,776.00,Patron+
3223735,237.51,133.45,13.43,16000,16000,232.00,Patron+
3223745,55.00,370.32,13.45,10000,10000,26.00,Patron+
3224204,133.00,181.33,10.43,5000,55000,182.00,Patron+
3225010,600.28,579.31,41.25,1500,,580.00,Patron+
3225429,432.00,454.32,13.45,3700,,455.00,Patron+
3225542,94.54,237.31,13.44,2500,3000,85.00,Patron+
3225684,313.32,153.33,0.40,2000,2000,154.00,Patron+
3225996,35.44,17.34,4.32,5000,7250,18.00,Patron+
3225998,45874.00,129.32,13.43,10000,10000,130.00,Patron+
3226289,111.57,21.38,0.49,250,3027850.5,22.00,Patron+
3226740,138.36,109.53,13.43,2500,2850,110.00,Patron+
3226833,712.52,804.30,297.32,2500,,805.00,Patron+
3226927,189.35,363.31,6.30,10000,10000,364.00,Patron+
3227686,45874.00,735.31,181.31,5000,,736.00,Patron+
3227705,312.63,19.37,13.44,2500,15000,20.00,Patron+
3227716,129.11,229.32,14.55,10000,10000,230.00,Patron+
3228292,285.49,707.32,11.55,2500,2500,182.00,Patron+
3231733,72.42,152.33,13.43,5000,5350,153.00,Patron+
3231904,42.57,26.32,13.44,2500,5313.6,27.00,Patron+
3232223,64.00,62.33,13.43,2500,3200,63.00,Patron+
3232380,458.07,194.34,13.45,5000,5150,195.00,Patron+
3234041,559.15,343.30,13.43,5000,5000,344.00,Patron+
3234801,102.00,229.32,13.42,5000,5000,230.00,Patron+
3235332,313.31,550.50,28.20,5500,,551.00,Patron+
3236056,313.39,542.31,28.20,2500,2500,124.00,Patron+
3236587,488.52,83.32,13.44,2500,2500,84.00,Patron+
3236675,570.32,529.30,13.43,5000,5000,55.00,Patron+
3236869,138.51,48.35,13.45,10000,10000,49.00,Patron+
3237059,313.29,404.33,13.45,5000,5000,60.00,Patron+
3239613,313.27,465.32,4.57,5000,,466.00,Patron+
3240212,243.52,10.35,10.35,1669.6,53519.6,11.00,Patron+
3240728,49.43,34.36,4.32,50,5050,35.00,Patron+
3240773,138.00,35.34,13.43,800,10971,36.00,Patron+
3240791,120.00,132.33,14.55,5000,5000,133.00,Patron+
3241352,45874.00,343.30,13.43,5000,5000,344.00,Patron+
3241355,45874.00,343.30,13.43,5000,5000,344.00,Patron+
3241628,45874.00,45874.00,13.43,25000,25400,68.00,Patron+
3241698,83.00,82.37,0.49,2500,2500,83.00,Patron+
3241848,284.40,315.31,13.43,2500,2500,316.00,Patron+
3241963,133.32,132.33,14.55,2500,2515,133.00,Patron+
3242158,58.93,153.33,13.45,2500,2500,154.00,Patron+
3242984,157.52,158.38,14.55,5000,5010,159.00,Patron+
3245665,206.35,221.28,13.43,10000,10000,222.00,Patron+
3247371,45874.00,154.32,13.43,10000,10000,155.00,Patron+
3250022,175.32,178.36,13.45,5000,5000,179.00,Patron+
1088,2331,407,22,200,,408,Under-Patron
1093,4114,32,22,500,500,33,Under-Patron
1250,105,207,22,100,100,212,Under-Patron
1320,111,368,22,100,,369,Under-Patron
1391,86,85,22,500,500,86,Under-Patron
1400,47,1673,35,100,,1674,Under-Patron
1412,195.3,951,181,100,,952,Under-Patron
1548,85,237,22,500,500,238,Under-Patron
1621,482,84,0,50000,50000,85,Under-Patron
1643,95,1671,35,50,,1672,Under-Patron
1743,5343,4240,22,600,600,323,Under-Patron
1755,2192,592,22,100,,593,Under-Patron
1925,120,118,22,200,650,119,Under-Patron
1940,90,89,22,12,12,90,Under-Patron
2024,813,1107,308,2500,,1108,Under-Patron
2037,117,1243,35,3.5,,1244,Under-Patron
2098,103,12,8,500,500,13,Under-Patron
2104,189,763,188,1000,,764,Under-Patron
2192,427,426,11,500,,427,Under-Patron
2202,1150,1551,603,750,,1552,Under-Patron
2334,104,103,7,1500,1500,104,Under-Patron
2438,111,35,8,2000,2000,36,Under-Patron
2547,1198,246,22,200,200,247,Under-Patron
2568,72,246,22,1000,1000,247,Under-Patron
2575,85,63,-1,15,15,64,Under-Patron
2586,6329,942,359,500,,943,Under-Patron
2631,1276,1456,686,50,,1460,Under-Patron
2645,917,1476,497,250,,1477,Under-Patron
2667,3045,1504,686,1000,,1505,Under-Patron
2689,119,118,22,1000,1000,118,Under-Patron
2722,107,882,22,750,,883,Under-Patron
2764,4295,1700,1089,250,,1701,Under-Patron
2832,86,85,28,75,75,86,Under-Patron
2899,4552,197,22,100,100,198,Under-Patron
2928,441,440,20,500,,440,Under-Patron
2944,68,210,22,500,500,211,Under-Patron
2973,41,753,14,20,,754,Under-Patron
2999,68,329,22,1000,1000,330,Under-Patron
3066,2311,1671,1089,100,,1672,Under-Patron
3068,45868,995,22,2000,,418,Under-Patron
3112,68,29,1,5000,5000,30,Under-Patron
3171,1519,1477,35,100,,1478,Under-Patron
3236,2181,249,247,25,25,250,Under-Patron
3265,2557,259,22,290,290,260,Under-Patron
3295,98,28,6,5000,5000,29,Under-Patron
3335,3841,1323,683,1500,,1324,Under-Patron
3432,195,879,172,16.5,,880,Under-Patron
3522,1568,1091,700,,,1093,Under-Patron
3654,119,42,22,250,250,43,Under-Patron
3806,1223,1222,35,315,,1223,Under-Patron
3807,835,531,22,250,,532,Under-Patron
3905,62,371,22,100,,372,Under-Patron
3923,818,1154,496,380,,1155,Under-Patron
4005,2640,1197,686,50,,1198,Under-Patron
4057,64,64,7,13,38,64,Under-Patron
4245,307,215,7,2500,5000,216,Under-Patron
4278,119,130,7,3000,3000,131,Under-Patron
4380,1990,1355,726,1000,,1356,Under-Patron
4406,2191,1352,271,500,,1240,Under-Patron
4413,35,1328,34,40,,1329,Under-Patron
4438,4300,610,22,100,,523,Under-Patron
4630,104,351,9,5000,5000,352,Under-Patron
4657,30,956,29,109.84,,957,Under-Patron
4857,1520,1128,35,100,,1129,Under-Patron
4864,1351,36,21,1000,1000,37,Under-Patron
4875,3034,45868,686,1000,,1181,Under-Patron
5148,63,63,22,1000,1000,64,Under-Patron
5168,58,685,57,10,,686,Under-Patron
5192,100,99,1,991,991,100,Under-Patron
5278,534,55,55,50,50,56,Under-Patron
5558,69,67,5,600,600,68,Under-Patron
5759,1273,202,22,2500,2500,203,Under-Patron
7039,2193,2877,22,1000,,566,Under-Patron
7068,100,99,22,250,1250,100,Under-Patron
7081,118,161,22,200,200,162,Under-Patron
7136,121,197,7,10,10,198,Under-Patron
7137,79,357,35,50,50,358,Under-Patron
7197,90,81,7,4020.51,5234.54,82,Under-Patron
7272,121,230,7,2500,2500,231,Under-Patron
7287,1569,1300,35,500,,1301,Under-Patron
7634,103,1527,48,100,,1528,Under-Patron
8810,64,1476,64,100,,1477,Under-Patron
10117,3234,1147,700,20,,1148,Under-Patron
10238,93,215,22,300,300,216,Under-Patron
10309,2270,412,235,10,,413,Under-Patron
10325,229,581,144,1,,582,Under-Patron
10392,97,1492,77,50,,1493,Under-Patron
10465,3040,1239,700,100,,1240,Under-Patron
10507,119,53,22,100,100,54,Under-Patron
10555,1975,938,321,250,,939,Under-Patron
10584,1573,1615,686,300,,1616,Under-Patron
10640,104,103,22,375,375,104,Under-Patron
10740,77,824,28,14,,825,Under-Patron
10834,1225,889,35,2000,,890,Under-Patron
10836,105,104,7,2500,2500,105,Under-Patron
10845,85,229,7,1000,1000,230,Under-Patron
10877,69,799,7,50,,800,Under-Patron
10959,114,768,88,150,,769,Under-Patron
10989,2512,1366,35,150,,1367,Under-Patron
10993,121,363,22,100,100,364,Under-Patron
10999,106,53,7,2000,27000,148,Under-Patron
11010,105,125,7,2681,5002,126,Under-Patron
11017,79,76,14,200,200,77,Under-Patron
11146,204,1702,189,50,,1703,Under-Patron
11245,100,35,5,1000,1000,36,Under-Patron
11273,96,63,22,2000,3000,64,Under-Patron
11304,69,427,69,25,,428,Under-Patron
11559,121,277,22,1000,16216.73,114,Under-Patron
11573,1573,1589,35,50,,1590,Under-Patron
11576,2338,1615,35,500,,1616,Under-Patron
11684,2066,221,22,100,100,222,Under-Patron
11724,1568,1355,348,1000,,1356,Under-Patron
11750,76,1490,14,252,,1491,Under-Patron
11800,153,155,22,250,250,156,Under-Patron
11860,103,89,22,1000,1000,90,Under-Patron
11872,432,431,22,2000,2000,28,Under-Patron
11874,341,337,22,100,100,338,Under-Patron
12105,705,798,271,4980,,799,Under-Patron
12108,464,964,35,250,,965,Under-Patron
12368,119,1412,35,1000,,1413,Under-Patron
12405,100,841,22,14,,842,Under-Patron
12428,82,60,22,500,500,61,Under-Patron
12434,91,215,22,250,250,216,Under-Patron
12451,89,20,14,26.6,80,21,Under-Patron
12731,476,1502,291,300,,1503,Under-Patron
12750,113,225,22,200,200,226,Under-Patron
12754,99,617,78,50,,618,Under-Patron
12772,1569,1371,35,100,,1372,Under-Patron
12784,2114,1504,1089,50,,1512,Under-Patron
12808,1001,995,35,500,,996,Under-Patron
12898,2177,1518,335,50,,1519,Under-Patron
12933,64,189,14,1000,1000,190,Under-Patron
12964,114,237,35,50,50,238,Under-Patron
13093,1033,1008,321,7.5,,1009,Under-Patron
13124,114,761,35,100,,762,Under-Patron
13159,68,545,7,5000,,546,Under-Patron
13181,456,210,7,2500,2500,211,Under-Patron
13399,133,63,22,425,425,64,Under-Patron
13406,75,431,7,2000,,432,Under-Patron
13449,132,35,5,2000,2000,36,Under-Patron
13952,45868,1099,726,200,,1100,Under-Patron
14505,124,1188,7,50,,1189,Under-Patron
15182,810,362,22,1000,1000,364,Under-Patron
15361,120,214,7,500,500,215,Under-Patron
16132,2381,1512,1089,100,,1513,Under-Patron
16194,2206,1476,35,375,,1477,Under-Patron
16744,114,1476,43,100,,1477,Under-Patron
17089,77,484,7,12,,485,Under-Patron
19034,2062,1502,1089,50,,1503,Under-Patron
19036,467,3472,22,3250,,408,Under-Patron
20091,70,806,14,100,,807,Under-Patron
20134,85,716,22,,,734.4367708,Under-Patron
20170,847,1372,686,100,,1373,Under-Patron
20275,111,20,7,8000,10000,21,Under-Patron
20354,358,1457,207,50,,1460,Under-Patron
20452,92,91,83,14,14,92,Under-Patron
20502,1183,256,22,800,800,257,Under-Patron
20696,79,239,22,500,500,240,Under-Patron
20830,482,1188,32,100,,1189,Under-Patron
20877,452,1357,78,100,,1358,Under-Patron
21080,1462,1359,35,50,,1360,Under-Patron
21135,69,1,1,500,500,2,Under-Patron
21155,1503,1602,35,10,,1603,Under-Patron
21189,69,67,4,5000,5000,68,Under-Patron
21257,76,75,22,500,1000,76,Under-Patron
21391,2246,1153,700,50,,1154,Under-Patron
21508,44,770,7,50,,771,Under-Patron
21562,1181,1134,686,1000,,1135,Under-Patron
21615,77,728,35,500,,730,Under-Patron
21765,307,714,83,40,,715,Under-Patron
22296,111,144,22,100,100,145,Under-Patron
22625,200,952,194,2500,,953,Under-Patron
22669,102,432,7,125,,433,Under-Patron
23699,83,235,6,3000,3000,236,Under-Patron
23867,90,1583,7,1000,1000,36,Under-Patron
23897,105,945,22,125,250,92,Under-Patron
25623,436,1167,35,100,,1168,Under-Patron
26002,118,97,7,1000,1000,98,Under-Patron
27171,117,1519,22,500,,610,Under-Patron
27187,118,484,7,100,,485,Under-Patron
27541,91,1309,90,500,,1310,Under-Patron
27615,2344,1209,35,1000,,1210,Under-Patron
27812,3036,1546,1089,200,,1547,Under-Patron
27827,1085,1084,321,14.75,,1085,Under-Patron
28148,107,239,22,500,500,240,Under-Patron
28162,470,1469,366,1000,,1470,Under-Patron
30006,272,928,272,14.75,,929,Under-Patron
30018,110,321,7,1500,1500,322,Under-Patron
30099,576,411,22,250,,412,Under-Patron
